scenario,filesize,transport,n,n_ok,n_fail,fail_rate_pct,throughput_mean,throughput_std,throughput_min,throughput_max,total_time_mean,dns_time_mean,retrans_mean,retrans_std
A,100kb,tcp,10,10,0,0.0,9.719110942862287,0.9555995514143216,7.022130477354119,10.103797525651718,0.1093407252000361,0.023724985100034245,0.0,0.0
A,100kb,rudp,10,10,0,0.0,0.45490487744355573,0.001887260971190726,0.45078558748805564,0.45694173953992745,1.8219151997997869,0.02071138329997666,0.0,0.0
A,1mb,tcp,10,10,0,0.0,47.06706202076928,1.5660107193501842,44.58486323825842,48.77361619087314,0.2019130562999635,0.022772547899876372,0.0,0.0
A,1mb,rudp,10,10,0,0.0,1.2820282208073215,0.002892126700948163,1.2772467338399525,1.2873085027035456,6.564490993900108,0.02070613970017803,0.0,0.0
A,10mb,tcp,10,10,0,0.0,31.571633445366665,1.5978683935580706,28.279477040668255,34.23621796047271,2.6884706236001876,0.020729369800119458,0.0,0.0
A,10mb,rudp,10,10,0,0.0,1.558039654439669,0.0022965416592589777,1.553751667971216,1.5607260310837967,53.866096604999896,0.02076652160021695,0.0,0.0
B,100kb,tcp,10,10,0,0.0,1.1920555317500412,0.4177337202849317,0.4282012095571297,1.6316725065636988,1.0135354131000895,0.20078843800001778,0.0,0.0
B,100kb,rudp,10,9,1,10.0,0.09013308032082007,0.027890433843551325,0.04779705288261088,0.133655980523617,10.1018514897778,0.10076629830000457,1.5555555555555556,1.130388330520878
B,1mb,tcp,10,10,0,0.0,1.1914246224992087,1.145042011518178,0.596034398950294,4.389041836131685,7.6168928196000705,0.10072010520016192,0.0,0.0
B,1mb,rudp,10,10,0,0.0,0.09620013579367974,0.011661647868482169,0.07874034881061796,0.11290710288667653,88.4652763436001,0.10080602179996276,13.2,4.3410188256265885
B,10mb,tcp,10,10,0,0.0,0.7895608997735801,0.29429976558563475,0.450716332570848,1.375466954090967,8.41478498710003,0.3010579266000605,0.0,0.0
B,10mb,rudp,10,10,0,0.0,0.09641523083929501,0.002227532376136667,0.0930116998412713,0.09885775796911117,870.9858602682998,0.5052883189005115,141.5,18.050854088749745
C,100kb,tcp,10,10,0,0.0,0.45123287743159485,0.1417164659618907,0.26867564648277437,0.5838585048048179,2.5099452521000787,0.5013351517998672,0.0,0.0
C,100kb,rudp,10,8,2,20.0,0.043705467770706705,0.008199049936280964,0.030330006566110897,0.05106720731721742,20.165906667375566,0.6224024151008052,2.75,1.9086270308410553
C,1mb,tcp,10,10,0,0.0,0.2759620335881765,0.09699556662636045,0.11230347295716114,0.4527349480291627,11.94115828189988,0.30091236160042173,0.0,0.0
C,1mb,rudp,10,8,2,20.0,0.0465021043616035,0.002659291487350717,0.04039303956056896,0.048860329675800646,181.91597534987523,0.8023702603000856,27.5,4.65985898008574
C,10mb,tcp,10,10,0,0.0,0.26192413709231765,0.08546098283899009,0.1605619367250948,0.461259201389638,13.24068772279934,0.3015237185001752,0.0,0.0
C,10mb,rudp,10,9,1,10.0,0.04464488142283935,0.0011456051221814104,0.042071735620501795,0.04600869626601591,1778.810030016,0.20720042349967116,270.44444444444446,41.31619268250377
